"name","mz","rt"
"pRPLC_376",472.3032383,772.9060002
"pRPLC_391",466.3291615,746.577
"pRPLC_603",162.1125215,33.74599998
"pRPLC_629",181.0720194,36.36
"pRPLC_685",230.0700708,158.205
"pRPLC_722",181.0720545,228.30499998
"pRPLC_778",289.2274624,286.185
"pRPLC_1046",181.0720499,201.18199998
"pRPLC_1112",209.0921724,57.40600002
"pRPLC_1148",282.8749914,40.947
"pRPLC_1307",314.2325946,401.84800002
"pRPLC_1326",207.1292211,406.75399998
"pRPLC_1560",264.0557581,495.82399998
"pRPLC_1799",699.3153497,564.204
"pRPLC_1835",351.2138914,572.25799998
"pRPLC_1860",249.1849148,579.43699998
"pRPLC_2064",419.2343404,621.8350002
"pRPLC_2065",660.4051276,622.1590002
"pRPLC_2151",363.2197882,638.691
"pRPLC_2171",568.3405066,641.9200002
"pRPLC_2295",280.2636851,669.0730002
"pRPLC_2386",659.3539029,699.576
"pRPLC_2600",267.6469492,820.0489998
"pRPLC_2615",508.3395364,823.869
"pRPLC_3110",414.300218,545.18599998
"pRPLC_3138",286.1439309,537.015
"pRPLC_3633",180.9620167,40.947
"pRPLC_3839",141.0296527,63.43600002
"pRPLC_3927",232.1544973,77.50699998
"pRPLC_3959",153.0660315,84.24
"pRPLC_3968",244.1545078,87.11500002
"pRPLC_4027",797.7992502,99.96400002
"pRPLC_4250",473.171771,171.891
"pRPLC_4508",260.1857229,222.59200002
"pRPLC_4633",810.8984163,240.05500002
"pRPLC_4673",379.2228997,243.74800002
"pRPLC_5025",195.0877916,284.56399998
"pRPLC_5044",286.2013588,286.51099998
"pRPLC_5461",310.2011245,337.95199998
"pRPLC_5721",517.1417022,375.09400002
"pRPLC_5726",125.059958,376.11199998
"pRPLC_7083",229.0972633,516.57700002
"pRPLC_7291",175.0967687,536.688
"pRPLC_7637",563.1516385,563.23999998
"pRPLC_7781",343.2266497,572.57899998
"pRPLC_7987",105.0336182,586.22899998
"pRPLC_8054",590.3300719,590.49799998
"pRPLC_9043",651.424481,646.1080002
"pRPLC_9544",247.1694012,682.2289998
"pRPLC_9960",232.1120965,737.34
"pRPLC_10319",313.07732,790.8349998
"pRPLC_10514",343.1944457,823.233
"pRPLC_10535",322.2266296,823.869
"pRPLC_10563",313.0773443,825.7780002
"pRPLC_10906",285.0096972,901.116
"pRPLC_10992",566.4289737,950.4589998
"pRPLC_11024",128.5944064,963.771
"pRPLC_11039",392.2556388,979.1560002
"pRPLC_11516",446.2951834,860.1520002
"pRPLC_12426",599.3412671,765.5179998
"pRPLC_12599",365.1958334,750.4129998
"pRPLC_12912",539.2850834,718.7419998
"pRPLC_13460",503.178277,680.3059998
"pRPLC_13514",858.5523448,676.7740002
"pRPLC_13668",639.4078823,667.146
"pRPLC_14733",533.9914497,622.1590002
"pRPLC_15362",323.1849879,596.649
"pRPLC_16044",302.2688478,565.806
"pRPLC_16149",189.1005135,561.27199998
"pRPLC_16169",395.2061517,560.28400002
"pRPLC_16854",200.1728369,524.60599998
"pRPLC_17684",625.2754213,470.139
"pRPLC_17705",381.1374605,468.48
"pRPLC_17826",499.0575908,460.728
"pRPLC_17934",249.1098912,452.073
"pRPLC_18346",316.1176092,421.377
"pRPLC_18562",135.1170069,407.07799998
"pRPLC_18580",196.133416,406.42900002
"pRPLC_18586",241.1410493,406.42900002
"pRPLC_18600",493.4408059,405.78199998
"pRPLC_19147",347.2037242,363.045
"pRPLC_19371",164.1072032,341.23300002
"pRPLC_19437",407.2250451,336.00199998
"pRPLC_19565",313.0876065,325.57699998
"pRPLC_19596",310.2011112,322.275
"pRPLC_19688",125.0599499,314.34700002
"pRPLC_19794",399.1860968,304.42000002
"pRPLC_19991",419.0097441,287.16700002
"pRPLC_20220",768.3619032,268.005
"pRPLC_20346",209.0786397,256.79500002
"pRPLC_20350",352.1652859,256.48000002
"pRPLC_20625",301.0004958,233.34700002
"pRPLC_21179",290.9475778,152.55400002
"pRPLC_21343",426.0706281,96.72799998
"pRPLC_21471",166.0725815,77.50699998
"pRPLC_21522",123.0554313,71.41900002
"pRPLC_21528",237.221367,70.45999998
"pRPLC_21720",170.0330067,45.387
"pRPLC_21734",183.062768,44.44000002
"pRPLC_22098",182.0813375,33.42
